Ice_shelf,Area (km^2),Median constraint proximity (km),Max constraint proximity (km),Constraint proximity skewness,Topography-corrected disturbance stdev (mGal),Gravity error RMS (mGal),Predicted optimal inversion RMSE (m),Predicted optimal topographic improvement (m)
Ross,480428,17.28,62.34,0.43,17.95,12.75,73.06,-26.74
Ronne_Filchner,427042,7.69,46.34,1.46,21.29,7.95,6.70,15.05
Amery,60797,16.94,74.85,0.84,28.14,8.43,83.51,-37.19
LarsenC,47444,9.07,36.86,0.76,14.67,5.74,8.26,19.59
Riiser-Larsen,42913,17.66,63.20,0.71,39.89,8.29,121.21,-74.88
Fimbul,40948,5.45,26.20,1.39,40.57,6.04,6.70,12.41
Brunt_Stancomb,36137,14.46,66.88,0.71,41.34,5.76,42.07,-0.55
Getz,33389,10.34,40.42,0.77,13.69,6.84,11.49,23.27
Baudouin,33129,22.52,72.09,0.64,36.10,7.18,108.56,-62.24
Abbot,31390,9.79,34.30,0.67,20.01,6.65,10.14,17.71
Shackleton,26928,26.86,84.48,0.53,25.03,8.18,80.18,-33.86
George_VI,23260,6.63,28.81,0.92,18.54,5.34,6.70,15.05
LarsenD,22633,9.75,35.75,0.73,23.95,6.05,11.74,16.11
Borchgrevink,21616,14.25,43.08,0.52,33.25,10.50,34.15,7.37
West,16083,14.36,54.80,0.79,16.44,7.05,26.22,15.31
Wilkins,12907,17.50,57.28,0.53,15.63,7.18,73.06,-26.74
Sulzberger,11970,5.29,20.06,0.97,14.45,5.18,4.91,14.21
Jelbart,10845,11.21,34.71,0.54,60.21,5.44,22.92,11.84
Lazarev,8572,10.39,28.29,0.51,14.11,8.39,11.49,23.27
Stange,7930,8.56,29.52,0.64,15.65,5.95,8.26,19.59
Nivl,7322,10.67,30.34,0.41,40.11,7.36,22.92,11.84
Ekstrom,6871,2.73,15.30,1.09,66.05,3.95,3.02,2.91
Nickerson,6335,8.17,32.92,1.02,15.61,6.41,8.26,19.59
Totten,6187,6.27,24.16,0.73,25.60,4.23,8.39,13.36
Pine_Island,6120,3.98,16.70,0.61,12.38,3.80,3.07,8.29
Moscow_University,5950,6.72,20.45,0.54,21.28,5.62,6.70,15.05
Dotson,5677,6.06,21.95,0.81,18.17,4.50,4.91,14.21
Mertz,5652,4.85,22.75,0.85,19.65,9.63,3.93,7.43
Prince_Harald,5455,25.98,61.77,0.13,23.05,8.43,80.18,-33.86
Thwaites,5377,2.51,16.33,0.92,11.54,3.88,2.43,3.49
Bach,4548,6.98,21.40,0.74,9.44,6.82,4.00,17.75
Cook,3532,16.06,45.20,0.41,13.95,7.10,45.60,-2.23
Crosson,3331,8.02,29.54,0.75,11.22,4.00,6.70,21.15
Rennick,3276,8.38,20.85,0.09,27.90,10.12,12.86,14.99
Venable,3155,7.63,20.88,0.41,12.56,5.75,4.48,17.27
Cosgrove,2990,9.79,24.00,0.32,13.28,6.67,6.70,21.15
Tracy_Tremenchus,2941,15.58,36.09,0.18,9.62,9.22,33.56,9.81
Mariner,2673,9.07,28.44,0.77,28.04,10.57,12.86,14.99
Holmes,2366,7.52,31.94,1.22,7.65,14.32,4.00,17.75
Drygalski,2281,3.96,13.94,0.51,61.90,8.27,4.43,6.92
LarsenB,2151,5.42,18.93,0.64,9.28,6.85,3.68,15.43
Quar,2132,4.81,17.75,0.83,16.07,6.46,3.46,7.90
Vigrid,2096,10.29,32.22,0.65,26.85,6.41,20.15,14.61
Atka,1994,6.98,21.46,0.51,11.08,5.47,4.48,17.27
Nansen,1942,3.56,14.25,0.74,33.31,7.44,4.36,4.30
Ninnis,1929,7.15,26.43,0.74,16.91,8.70,5.59,16.16
Conger_Glenzer,1601,32.47,49.77,0.01,20.79,7.85,76.40,-30.08
Publications,1563,6.03,22.51,0.85,12.99,8.40,4.09,15.02
Dibble,1463,7.95,21.85,0.51,21.02,13.54,6.70,15.05
LarsenE,1167,5.60,14.85,0.40,15.43,6.96,4.91,14.21
Vincennes_Bay,957,4.27,13.59,0.59,30.77,4.45,4.91,6.45
WilmaRobertDowner,879,6.04,12.51,-0.01,13.88,8.32,4.09,15.02
Swinburne,875,4.78,13.60,0.65,13.35,9.10,3.07,8.29
Shirase,824,7.27,18.03,0.39,5.59,8.43,3.65,18.10
LarsenF,815,4.77,12.43,0.26,8.81,6.94,2.95,8.40
Aviator,770,4.83,16.99,0.74,50.35,8.27,4.43,6.92
Lillie,769,9.11,26.43,0.73,18.59,14.83,10.14,17.71
LarsenA,722,2.69,8.88,0.60,5.45,7.33,2.49,3.44
Voyeykov,688,18.79,30.79,-0.00,4.38,13.18,25.71,20.62
Rayner_Thyer,653,6.56,13.76,0.18,15.77,8.28,5.59,16.16
Land,625,5.47,16.09,0.84,15.85,4.79,4.91,14.21
Withrow,613,10.05,27.62,0.26,5.35,15.03,5.43,29.33
Lauritzen,520,6.52,18.53,0.42,7.14,9.16,4.00,17.75
Mendelssohn,472,4.39,10.56,0.24,11.68,6.53,3.07,8.29
Tucker,440,3.34,8.41,0.20,17.74,14.57,3.36,5.30
Edward_VIII,422,5.28,9.87,-0.03,14.16,8.29,4.09,15.02
LarsenG,404,7.68,14.46,-0.07,6.34,6.88,4.00,17.75
Hannan,342,3.75,10.26,0.69,9.54,8.37,3.01,5.65
